2026-07-25 11:20:10 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-25 11:24:26 | INFO     | modules.embeddings | Using HuggingFace multilingual embeddings: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2026-07-25 11:24:39 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-25 11:25:54 | INFO     | modules.rag_chain | [9f65b416-7691-4f35-8709-2ae23cb66d73] Question detected as 'en': hey whats going on?
2026-07-25 11:25:54 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-25 11:32:08 | INFO     | modules.embeddings | Using HuggingFace multilingual embeddings: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2026-07-25 11:32:23 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-25 11:32:43 | INFO     | modules.rag_chain | [ca62e821-26ac-4d49-9a6e-faecb60288c8] Question detected as 'en': hi
2026-07-25 11:32:43 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-25 11:33:29 | INFO     | modules.rag_chain | [ca62e821-26ac-4d49-9a6e-faecb60288c8] Question detected as 'en': give me some ML interviews questions?
2026-07-25 11:33:29 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-25 11:33:52 | INFO     | modules.rag_chain | [ca62e821-26ac-4d49-9a6e-faecb60288c8] Question detected as 'en': yes
2026-07-25 11:33:52 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-25 11:43:27 | INFO     | modules.website_loader | Loaded website 'https://seanpublication.com/' -> 5820 characters
2026-07-25 11:43:27 | INFO     | modules.splitter | split_documents: 1 docs -> 7 chunks
2026-07-25 11:43:42 | INFO     | modules.vectordb | add_documents: added 7 new chunk(s) to the vector store
2026-07-25 11:44:26 | INFO     | modules.rag_chain | [ca62e821-26ac-4d49-9a6e-faecb60288c8] Question detected as 'bn': sean publication theke নতুন প্রকাশিত বই boi er nam bolo
2026-07-25 11:44:26 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-25 11:46:11 | INFO     | modules.website_loader | Loaded website 'https://olympicbd.com/' -> 3 characters
