2026-07-27 10:52:43 | INFO     | modules.embeddings | Using HuggingFace multilingual embeddings: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2026-07-27 10:53:22 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\AI Projects\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-27 11:20:29 | INFO     | modules.embeddings | Using HuggingFace multilingual embeddings: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2026-07-27 11:20:44 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\AI Projects\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-27 11:22:06 | INFO     | modules.website_loader | Loaded website 'https://olympicbd.com/' -> 3 characters
2026-07-27 11:22:06 | INFO     | modules.splitter | split_documents: 1 docs -> 1 chunks
2026-07-27 11:22:06 | INFO     | modules.vectordb | add_documents: nothing new to add (all chunks already indexed)
2026-07-27 11:22:44 | INFO     | modules.rag_chain | [e27e0074-0ef6-44d2-b38f-7382fa2793a9] Question detected as 'en': Tell me the history of Olympic?
2026-07-27 11:22:44 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-27 11:35:41 | INFO     | modules.embeddings | Using HuggingFace multilingual embeddings: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2026-07-27 11:35:57 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\AI Projects\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-27 11:36:24 | WARNING  | modules.website_loader | No readable text found : https://olympicbd.com/about-us/history-milestone
2026-07-27 11:36:53 | INFO     | modules.rag_chain | [3708ad95-bbfd-4405-a44b-31b032c3e4cb] Question detected as 'en': Tell me the history of Olympic industries?
2026-07-27 11:36:53 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-27 11:42:07 | INFO     | modules.embeddings | Using HuggingFace multilingual embeddings: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2026-07-27 11:42:27 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\AI Projects\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-27 11:42:44 | WARNING  | modules.website_loader | No/low readable text extracted from 'https://www.inceptionbd.com/' — page may be JS-rendered
2026-07-27 11:43:03 | INFO     | modules.rag_chain | [9402835d-3c73-431e-a6ec-3e7b996fd541] Question detected as 'en': Tell me about inception bd
2026-07-27 11:43:03 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-27 14:03:51 | INFO     | modules.embeddings | Using HuggingFace multilingual embeddings: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2026-07-27 14:04:48 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\AI Projects\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-27 14:05:02 | WARNING  | modules.website_loader | Playwright failed : 
2026-07-27 14:05:02 | INFO     | modules.website_loader | BeautifulSoup extraction success
2026-07-27 14:05:02 | INFO     | modules.website_loader | Loaded 'https://olympicbd.com/' using beautifulsoup
2026-07-27 14:05:02 | INFO     | modules.splitter | split_documents: 1 docs -> 1 chunks
2026-07-27 14:05:07 | INFO     | modules.vectordb | add_documents: added 1 new chunk(s) to the vector store
2026-07-27 14:05:46 | INFO     | modules.rag_chain | [d511ceef-9113-439c-81bf-923cebcb6ded] Question detected as 'en': Tell me about Olympic Industries ltd?
2026-07-27 14:05:46 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-27 14:08:30 | INFO     | modules.embeddings | Using HuggingFace multilingual embeddings: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2026-07-27 14:09:06 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\AI Projects\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-27 14:09:19 | WARNING  | modules.website_loader | Playwright failed : 
2026-07-27 14:09:20 | INFO     | modules.website_loader | BeautifulSoup extraction success
2026-07-27 14:09:20 | INFO     | modules.website_loader | Loaded 'https://olympicbd.com/' using beautifulsoup
2026-07-27 14:09:20 | INFO     | modules.splitter | split_documents: 1 docs -> 1 chunks
2026-07-27 14:09:20 | INFO     | modules.vectordb | add_documents: nothing new to add (all chunks already indexed)
2026-07-27 14:09:51 | INFO     | modules.rag_chain | [c8d81d25-0271-4fa6-9019-82a6176c6244] Question detected as 'en': tell me about Olympic Industries ltd?
2026-07-27 14:09:51 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-27 14:12:02 | INFO     | modules.rag_chain | [c8d81d25-0271-4fa6-9019-82a6176c6244] Question detected as 'en': what is Chairman's Message?
2026-07-27 14:12:02 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-27 14:13:04 | INFO     | modules.website_loader | Trafilatura extraction success
2026-07-27 14:13:04 | INFO     | modules.website_loader | Loaded 'https://www.rokomari.com/' using trafilatura
2026-07-27 14:13:04 | INFO     | modules.splitter | split_documents: 1 docs -> 1 chunks
2026-07-27 14:13:07 | INFO     | modules.vectordb | add_documents: added 1 new chunk(s) to the vector store
2026-07-27 14:13:30 | INFO     | modules.rag_chain | [c8d81d25-0271-4fa6-9019-82a6176c6244] Question detected as 'en': what about rokomari?
2026-07-27 14:13:30 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-27 14:14:01 | INFO     | modules.loaders | Loaded PDF '01_company_profile_demo.pdf' -> 2 page(s)
2026-07-27 14:14:01 | INFO     | modules.loaders | Loaded PDF '02_employee_handbook_demo.pdf' -> 2 page(s)
2026-07-27 14:14:01 | INFO     | modules.loaders | Loaded PDF '03_hr_policy_manual_demo.pdf' -> 1 page(s)
2026-07-27 14:14:01 | INFO     | modules.loaders | Loaded PDF '04_leave_policy_demo.pdf' -> 1 page(s)
2026-07-27 14:14:06 | INFO     | modules.loaders | Loaded PDF 'ML_Interview_Questions_Answers_Bilingual.pdf' -> 32 page(s)
2026-07-27 14:14:09 | INFO     | modules.loaders | Loaded PDF 'Nakib Islam.pdf' -> 2 page(s)
2026-07-27 14:14:09 | INFO     | modules.loaders | Loaded PDF 'Olympic_Enterprise_RAG_Demo_Documents.pdf' -> 2 page(s)
2026-07-27 14:14:10 | INFO     | modules.loaders | Loaded PDF 'Olympic_Industries_Sample_Policy_Dataset.pdf' -> 48 page(s)
2026-07-27 14:14:10 | INFO     | modules.loaders | Loaded DOCX 'Olympic_Industries_PLC_Professional_Report.docx'
