2026-07-24 11:02:36 | INFO     | modules.embeddings | Using HuggingFace multilingual embeddings: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2026-07-24 11:08:59 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-24 11:09:49 | INFO     | modules.loaders | load_directory: loaded 0 document chunks total from D:\AI-Inceptionbd(25 october 2025)\Universal-RAG\data
2026-07-24 11:41:08 | INFO     | modules.embeddings | Using HuggingFace multilingual embeddings: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2026-07-24 11:41:38 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-24 11:42:24 | INFO     | universal_rag | Saved uploaded file 'Nakib Islam.pdf' -> D:\AI-Inceptionbd(25 october 2025)\Universal-RAG\data\pdf\Nakib Islam.pdf
2026-07-24 11:42:27 | INFO     | modules.loaders | Loaded PDF 'Nakib Islam.pdf' -> 2 page(s)
2026-07-24 11:42:27 | INFO     | modules.splitter | split_documents: 2 docs -> 7 chunks
2026-07-24 11:42:35 | INFO     | modules.vectordb | add_documents: added 7 new chunk(s) to the vector store
2026-07-24 11:42:50 | INFO     | modules.rag_chain | [ffd89daa-0866-48a8-a526-dee584212ac0] Question detected as 'en': hi
2026-07-24 11:42:50 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-24 11:50:49 | INFO     | modules.embeddings | Using HuggingFace multilingual embeddings: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2026-07-24 11:51:09 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-24 11:51:18 | INFO     | modules.rag_chain | [d5c6199f-130a-44dc-9a0f-39051e267cd1] Question detected as 'en': hi
2026-07-24 11:51:18 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-24 11:58:06 | INFO     | modules.embeddings | Using HuggingFace multilingual embeddings: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2026-07-24 11:58:22 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-24 12:01:15 | INFO     | modules.embeddings | Using HuggingFace multilingual embeddings: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2026-07-24 12:01:30 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-24 12:02:46 | INFO     | modules.embeddings | Using HuggingFace multilingual embeddings: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2026-07-24 12:03:03 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-24 12:03:12 | INFO     | modules.rag_chain | [7ab14044-a31d-4ccc-b065-b1c85c5df9ae] Question detected as 'en': hi
2026-07-24 12:03:12 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-24 19:47:18 | INFO     | modules.embeddings | Using HuggingFace multilingual embeddings: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2026-07-24 19:47:32 | INFO     | modules.vectordb | Chroma vector store ready at 'D:\AI-Inceptionbd(25 october 2025)\Universal-RAG\chroma_db' (collection='universal_rag_business')
2026-07-24 19:48:16 | INFO     | modules.rag_chain | [ec76eee2-30a4-4307-99e0-c5bbb9c22fc8] Question detected as 'en': hi
2026-07-24 19:48:16 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
